Model,Precision,Recall,F1 Score,ROC-AUC,PR-AUC
Logistic Regression,0.1065891472868217,0.8088235294117647,0.18835616438356165,0.9347136616599845,0.4377471082222613
Random Forest,0.0,0.0,0.0,0.8923893692777213,0.17357082091184567
